Familia;Proveedor;Codigo;Descripcion;Costo nuevo SIN IVA;Costo viejo SIN IVA;Costo viejo con IVA;Precio;Coef viejo
TELAS;ALHAMBRA;AL09-178;TELA ART 3390 STONE WASHED COTTON 1.40;;14849;17967,29;35100;2,363795542
TELAS;ALHAMBRA;AL09-179;TELA ART 8243 SAILOR  3.00;;10314;12479,94;24360;2,361838278
TELAS;ALHAMBRA;AL09-180;TELA ART 8500 RAFIA JAQUARD 2.80;;11335;13715,35;26740;2,359064843
TELAS;ALHAMBRA;AL09-181;TELA ART 14106 OLYMPIC 1.40;;20760;25119,6;48960;2,358381503
TELAS;ALHAMBRA;AL09-182;TELA ART 14250 MAURE 1.40;;6270;7586,7;14790;2,358851675
TELAS;ALHAMBRA;AL09-183;TELA ART 14391 CIAO 1.40;;9400;11374;22190;2,360638298
TELAS;ALHAMBRA;AL09-184;PANA ART 450 AMBERES 1.40;;7480;9050,8;17660;2,360962567
TELAS;ALHAMBRA;AL09-185;TELA ART 470  PANA NAIROBI  1.40L;;8825;10678,25;20820;2,359206799
TELAS;ALHAMBRA;AL09-186;TELA ART 480  PANA MOSCU  1.40;;9764;11814,44;23100;2,365833675
TELAS;ALHAMBRA;AL09-187;TELA ART 700  PANA ANABELLA  1.40;;13556;16402,76;31960;2,357627619
TELAS;ALHAMBRA;AL09-188;TELA ART 1429  PANA THOR  1.40;;15850;19178,5;37400;2,359621451
TELAS;ALHAMBRA;AL09-189;TELA ART 1487  PANA BRANDO  1.40;;10550;12765,5;24900;2,360189573
